,page,country,rev_id,article_quality_est,FIPS,Name,Type,TimeFrame,Data (M),Population
352,List of mayors of Radoviš,Macedonia,690088836,Stub,,,,,,
388,John Blades Currey,Cape Colony,693624260,Stub,,,,,,
401,Zaur Avidzba,Abkhazia,694519009,Start,,,,,,
499,"List of members of the Løgting, 1998–2002",Faroese,698865505,Start,,,,,,
570,José Abel,East Timorese,699698855,Stub,,,,,,
588,Tórbjørn Poulsen,Faroese,700400143,Stub,,,,,,
613,Demmus Hentze,Faroese,701771698,Start,,,,,,
644,Young Vivian,Niuean,703037968,Start,,,,,,
663,Noel Ahipeaud,Ivorian,703133769,Stub,,,,,,
694,Simon Jenko,Carniolan,703436823,Start,,,,,,
697,Park In-won,South Korean,703478926,Stub,,,,,,
716,Paul Southwell,Saint Kitts and Nevis,703666654,Start,,,,,,
724,Petrus Compton,Saint Lucian,703819839,Stub,,,,,,
745,Jan Malypetr,Czech Republic,704424304,Stub,,,,,,
781,Thomas François Burgers,South African Republic,704636517,C,,,,,,
791,Céleo Arias,Hondura,704789339,Stub,,,,,,
810,James Ah Koy,Samoan,704919844,B,,,,,,
814,Zaur Ardzinba,Abkhazia,704938340,Start,,,,,,
827,Emanuel Moravec,Czech Republic,705080136,Start,,,,,,
845,Va'aelua Eti Alesana,Samoan,705218371,Start,,,,,,
874,Juan Francisco de Molina,Hondura,705346284,Stub,,,,,,
875,Felipe Neri Medina,Hondura,705346304,Stub,,,,,,
876,Mariano Garrigó,Hondura,705346378,Stub,,,,,,
877,José María Bustillo (Honduran),Hondura,705346396,Stub,,,,,,
878,Francisco Gómez (acting president),Hondura,705346462,Stub,,,,,,
879,Salvador Aguirre (Honduras),Hondura,705346724,Stub,,,,,,
880,Francisco Bográn,Hondura,705346741,Stub,,,,,,
902,Fermín Palacios,Salvadoran,705353491,Stub,,,,,,
903,Eugenio Aguilar,Salvadoran,705353565,Stub,,,,,,
904,Tomás Medina,Salvadoran,705353584,Stub,,,,,,
905,Ramón Rodríguez (Salvadoran politician),Salvadoran,705353647,Stub,,,,,,
906,Vicente Gómez,Salvadoran,705353678,Stub,,,,,,
907,Lorenzo Zepeda,Salvadoran,705353843,Stub,,,,,,
908,José María Peralta,Salvadoran,705353896,Stub,,,,,,
909,Francisco Menéndez,Salvadoran,705353975,Stub,,,,,,
910,Pedro José Escalón,Salvadoran,705354095,Stub,,,,,,
911,Fernando Figueroa,Salvadoran,705354112,Stub,,,,,,
912,Carlos Meléndez (politician),Salvadoran,705354212,Stub,,,,,,
929,Fabio Castillo Figueroa,Salvadoran,705385310,Stub,,,,,,
931,Eugène Diomi Ndongala Nzomambu,"Congo, Dem. Rep. of",705390654,Stub,,,,,,
979,Théophile Mbemba Fundu,"Congo, Dem. Rep. of",705707214,Stub,,,,,,
981,Ntumba Luaba,"Congo, Dem. Rep. of",705723187,Stub,,,,,,
982,Myra Ndjoku Manianga,"Congo, Dem. Rep. of",705723441,Stub,,,,,,
1042,Misa Telefoni Retzlaff,Samoan,706207837,Start,,,,,,
1153,Ricardo Montenegro,Salvadoran,706769596,Stub,,,,,,
1154,Vicente Flores,Incan,706771757,Stub,,,,,,
1167,Luagalau Levaula Kamu,Samoan,706804758,Stub,,,,,,
1176,Leafa Vitale,Samoan,706837234,Stub,,,,,,
1243,Khozh-Ahmed Noukhayev,Chechen,707217873,C,,,,,,
1285,Rafael Campo,Salvadoran,707399758,Start,,,,,,
1286,Miguel Santín del Castillo,Salvadoran,707400213,Stub,,,,,,
1287,Osmín Aguirre y Salinas,Salvadoran,707403482,Stub,,,,,,
1288,Eusebio Rodolfo Cordón Cea,Salvadoran,707404888,Stub,,,,,,
1303,Juan José Guzmán,Salvadoran,707519272,Stub,,,,,,
1305,Niko Lee Hang,Samoan,707525246,Stub,,,,,,
1306,Tuu'u Anasi'i Leota,Samoan,707525315,Stub,,,,,,
1317,Vladimír Hučín,Czech Republic,707597623,Start,,,,,,
1334,Tuiloma Pule Lameko,Samoan,707750982,Stub,,,,,,
1341,Juan Ramón Salgado,Hondura,707824636,Stub,,,,,,
1365,André-Philippe Futa,"Congo, Dem. Rep. of",708009445,Start,,,,,,
1380,Juan José Cañas,Salvadoran,708089470,Stub,,,,,,
1412,Gérard Gifuza,"Congo, Dem. Rep. of",708358969,Stub,,,,,,
1413,Koloso Sumaili,"Congo, Dem. Rep. of",708359204,Stub,,,,,,
1499,Tuo Fozié,Ivorian,708711840,Start,,,,,,
1500,Terry Le Main,Jersey,708727189,Start,,,,,,
1501,Paul Routier,Jersey,708727221,Start,,,,,,
1511,Mike Vibert,Jersey,708766654,Start,,,,,,
1544,Lee Moore (politician),Saint Kitts and Nevis,709078753,Stub,,,,,,
1545,Joseph Parry (politician),Saint Kitts and Nevis,709078817,Start,,,,,,
1636,Pavla Topolánková,Czech Republic,709676840,Start,,,,,,
1677,Harold Dalson,Saint Lucian,709912281,Stub,,,,,,
1678,Keith Mondesir,Saint Lucian,709912316,C,,,,,,
1679,Rufus Bousquet,Saint Lucian,709914459,Start,,,,,,
1755,Sean Power (Jersey),Jersey,710334019,Stub,,,,,,
1779,Robert James Dugu Gordon,Saint Kitts and Nevis,710428915,Stub,,,,,,
1786,Leonard Norman,Jersey,710503170,Start,,,,,,
1801,José Gregorio Salazar,Salvadoran,710543364,Start,,,,,,
1803,Mike Torode,Guernsey,710546915,Stub,,,,,,
1807,Diego Vigil Cocaña,Salvadoran,710555824,Start,,,,,,
1810,Nicolás Espinoza,Salvadoran,710578840,Start,,,,,,
1812,Léon Emmanuel Monnet,Ivorian,710585105,Stub,,,,,,
1817,Juan José Alvarado,Hondura,710598059,Stub,,,,,,
1840,Pedro Barriere,Salvadoran,710677703,Start,,,,,,
1863,Joaquín de San Martín,Salvadoran,710828020,Start,,,,,,
1932,Juan Ángel Almendares Bonilla,Hondura,711170881,Stub,,,,,,
1956,Trifun Kostovski,Macedonia,711339559,Start,,,,,,
1977,Washington Malianga,Rhodesian,711506001,Stub,,,,,,
1989,Josef Barák,Czech Republic,711675761,Stub,,,,,,
2071,Ronald Snapper,Rhodesian,712233907,Stub,,,,,,
2074,Rogerio Lobato,East Timorese,712249441,Start,,,,,,
2106,Antonín Švehla,Czech Republic,712426548,Stub,,,,,,
2172,Peter Waterworth,Montserratian,712713704,Stub,,,,,,
2280,Pierre Djédji Amondji,Ivorian,713176326,Stub,,,,,,
2283,Célestin Cibalonza Byaterana,"Congo, Dem. Rep. of",713195149,Stub,,,,,,
2285,Emmanuel Leku Apuobo,"Congo, Dem. Rep. of",713198718,Stub,,,,,,
2375,Kisula Ngoy,"Congo, Dem. Rep. of",713583472,Stub,,,,,,
2396,Jakob Marzel Sternberger,Czech Republic,713698544,Stub,,,,,,
2401,Ivan Hribar,Carniolan,713766077,C,,,,,,
2458,Andrias Christian Evensen,Faroese,714088539,Start,,,,,,
2466,Jean Collins Musonda Kalusambo,"Congo, Dem. Rep. of",714150941,Stub,,,,,,
2472,Alois Anderka,Czech Republic,714174726,Stub,,,,,,
2477,Auguste Denise,Ivorian,714183793,Stub,,,,,,
2481,Philippe Yacé,Ivorian,714200423,Stub,,,,,,
2490,Denis Kalume Numbi,"Congo, Dem. Rep. of",714220527,Start,,,,,,
2496,Laauli Leuatea Polataivao,Samoan,714244543,Stub,,,,,,
2499,José Félix Quirós,Salvadoran,714256648,Stub,,,,,,
2510,Dimitar Dimitrov (writer),Macedonia,714327408,Start,,,,,,
2653,Jean-Baptiste Mockey,Ivorian,714822110,Stub,,,,,,
2769,Joseph Orpen,Cape Colony,715016315,C,,,,,,
2831,Hákun Djurhuus,Faroese,715330944,Stub,,,,,,
2839,Oscar Kilgore,Hondura,715365023,Stub,,,,,,
2882,Ivan Dejmal,Czech Republic,715467197,Start,,,,,,
2890,Jógvan Justinusson,Faroese,715490721,Stub,,,,,,
2952,Franz Macoun,Czech Republic,715640391,Stub,,,,,,
2958,Jagnula Kunovska,Macedonia,715648720,Start,,,,,,
3014,Edgar Allen Christian,Pitcairn Islands,715823848,Stub,,,,,,
3015,Frederick Martin Christian,Pitcairn Islands,715823876,Stub,,,,,,
3016,John Lorenzo Christian,Pitcairn Islands,715823908,Stub,,,,,,
3090,Andrass Samuelsen,Faroese,716137698,Stub,,,,,,
3109,Kim Seung-kew,South Korean,716323288,Stub,,,,,,
3112,Joseph Lambert Eustace,Saint Vincent and the Grenadines,716335437,Start,,,,,,
3117,Len Ishmael,Saint Lucian,716376965,Stub,,,,,,
3136,Gregor Žerjav,Carniolan,716507073,Start,,,,,,
3153,Karel Dežman,Carniolan,716574519,C,,,,,,
3194,Willem Cornelis Janse van Rensburg,South African Republic,716703178,Start,,,,,,
3198,Karel Urbánek,Czech Republic,716711851,Stub,,,,,,
3254,Roberto Flores Bermúdez,Hondura,716882219,Stub,,,,,,
3303,Stanislav Kochiev,South Ossetian,717215546,Start,,,,,,
3307,Valeriy Hubulov,South Ossetian,717241760,Start,,,,,,
3315,Benjamin Stanley Young,Pitcairn Islands,717259837,Stub,,,,,,
3322,Edward Quintal,Pitcairn Islands,717338734,Stub,,,,,,
3323,Arthur Quintal I,Pitcairn Islands,717340951,Stub,,,,,,
3324,Fletcher Christian II,Pitcairn Islands,717340996,Stub,,,,,,
3325,Moses Young,Pitcairn Islands,717341064,Stub,,,,,,
3336,Matthew McCoy (Magistrate),Pitcairn Islands,717345596,Stub,,,,,,
3337,Arthur Quintal II,Pitcairn Islands,717346443,Stub,,,,,,
3355,Josip Vilfan,Carniolan,717350390,B,,,,,,
3356,Charles Christian II,Pitcairn Islands,717350782,Stub,,,,,,
3401,Seo Young-kyo,South Korean,717405394,Start,,,,,,
3406,Vladimír Klokočka,Czech Republic,717429365,Start,,,,,,
3408,To’alepaiali’i Toeolesulusulu Salesa III,Samoan,717442173,Stub,,,,,,
3445,Tou Travel Ariki,Cook Island,717545630,Stub,,,,,,
3467,Piho Rua,Cook Island,717593716,Start,,,,,,
3496,Luka Svetec,Carniolan,717669055,Start,,,,,,
3550,María Josefa Lastiri,Hondura,717808509,Start,,,,,,
3569,Norris Henry Young,Pitcairn Islands,717867039,Stub,,,,,,
3578,Robert Woonton,Cook Island,717897925,Start,,,,,,
3580,Edgardo Carlos Suárez Mallagray,Salvadoran,717903674,Stub,,,,,,
3589,Ben Shenton,Jersey,717911161,Start,,,,,,
3594,Hilal Al Sarmi,Omani,717915660,Stub,,,,,,
3607,Stevo Pendarovski,Macedonia,717927538,Start,,,,,,
3647,Eduardo Bueso,Hondura,718132526,Stub,,,,,,
3710,Klaas Afrikaner,Cape Colony,718462130,Stub,,,,,,
3833,Delphin Kyubwa,"Congo, Dem. Rep. of",718961623,Stub,,,,,,
3844,Namulau’ulu Vavae Tuilagi,Samoan,718995854,Stub,,,,,,
3905,Laurie Morgan,Guernsey,719122168,Stub,,,,,,
3918,Ngereteina Puna,Cook Island,719186872,Stub,,,,,,
3939,Christopher J. Turner,Montserratian,719256142,Start,,,,,,
4009,Elvin Santos,Hondura,719637124,Start,,,,,,
4025,Lefau Harry Schuster,Samoan,719691980,Stub,,,,,,
4031,Arthur Galsworthy,Pitcairn Islands,719706841,Stub,,,,,,
4094,Manuel Magalhaes de Oliveira,East Timorese,720011934,Stub,,,,,,
4096,Jaromír Jermář,Czech Republic,720027362,Stub,,,,,,
4226,Sam Condor,Saint Kitts and Nevis,720360218,Stub,,,,,,
4238,Aníbal Portillo,Salvadoran,720419598,Stub,,,,,,
4240,Robert Le Masurier,Jersey,720430005,Stub,,,,,,
4241,John Allen (diplomat),Tokelauan,720435378,Stub,,,,,,
4254,José Francisco Valiente,Salvadoran,720478176,Stub,,,,,,
4278,Joseph Nathaniel France,Saint Kitts and Nevis,720572188,Stub,,,,,,
4292,Diego de Holguín,Salvadoran,720623176,Stub,,,,,,
4293,Sigfrido Reyes Morales,Salvadoran,720633452,Start,,,,,,
4396,Sylvain Ngabu Chumbu,"Congo, Dem. Rep. of",720858135,Start,,,,,,
4494,Zurab Achba,Abkhazia,721094337,Stub,,,,,,
4519,José Endundo Bononge,"Congo, Dem. Rep. of",721206007,Stub,,,,,,
4612,Rostislav Khugayev,South Ossetian,721687759,Start,,,,,,
4625,Artur London,Czech Republic,721736524,Start,,,,,,
4673,Álvur Kirke,Faroese,721938213,Stub,,,,,,
4696,Marlon Pascua,Hondura,722006681,Stub,,,,,,
4734,Domingo Vásquez,Hondura,722195895,Stub,,,,,,
4755,Mohammed Al Rumhi,Omani,722258362,Stub,,,,,,
4760,Peter Harwood,Guernsey,722295712,Stub,,,,,,
4769,Rikard Long,Faroese,722336332,Start,,,,,,
4770,Sigurð Joensen,Faroese,722336979,Start,,,,,,
4811,Enrique Flores Lanza,Hondura,722442093,Stub,,,,,,
4841,Jógvan Poulsen (1854–1941),Faroese,722590461,Start,,,,,,
4882,Martin Storey (politician),Guernsey,722806951,Stub,,,,,,
4908,František Sláma (politician),Czech Republic,722937211,Stub,,,,,,
4924,Kevin C. Lewis,Jersey,722988899,Stub,,,,,,
4941,Lee Wu-jong,South Korean,723064614,Stub,,,,,,
4967,Themba N. Masuku,Swaziland,723121670,Stub,,,,,,
4978,Jan Kubice,Czech Republic,723151837,Stub,,,,,,
4980,Tuitama Talalelei Tuitama,Samoan,723152770,Stub,,,,,,
4981,Renan Inestroza,Hondura,723153856,Stub,,,,,,
4995,Kamil Jankovský,Czech Republic,723207013,Stub,,,,,,
5013,Manuel Enrique Araujo,Salvadoran,723277343,Start,,,,,,
5021,Mauricio Oliva,Hondura,723304712,Stub,,,,,,
5082,Christian Groepe,Cape Colony,723563811,B,,,,,,
5083,Karim Mammadbeyov,Dagestani,723563977,Start,,,,,,
5148,Shota Shamatava,Abkhazia,723736482,Stub,,,,,,
5194,Shawn Richards,Saint Kitts and Nevis,723892438,Start,,,,,,
5197,Richard Muyej Mangez,"Congo, Dem. Rep. of",723913158,Stub,,,,,,
5277,Gordan Georgiev,Macedonia,724075817,Stub,,,,,,
5350,Slobodan Čašule,Macedonia,724421215,Stub,,,,,,
5368,Spiro Ristovski,Macedonia,724502588,Stub,,,,,,
5411,Jacob Vestergaard,Faroese,724674137,Start,,,,,,
5415,Václav Vacek,Czech Republic,724691268,Stub,,,,,,
5471,Rob Duhamel,Jersey,724891592,Stub,,,,,,
5492,William Hume (Cape politician),Cape Colony,724976433,Start,,,,,,
5507,Johan Simonsen,Faroese,725030656,Stub,,,,,,
5532,Armando Calidonio,Hondura,725105423,Stub,,,,,,
5546,Sébastien Impeto Pengo,"Congo, Dem. Rep. of",725141090,Stub,,,,,,
5662,Kári P. Højgaard,Faroese,725288194,Start,,,,,,
5673,Carlos Urbizo,Hondura,725343188,Stub,,,,,,
5679,Čestmír Císař,Czech Republic,725362978,C,,,,,,
5703,Mauricio Villeda,Hondura,725459626,Stub,,,,,,
5707,Duvalle,Saint Vincent and the Grenadines,725462724,Start,,,,,,
5720,Valon Saracini,Macedonia,725551017,Start,,,,,,
5721,Séry Bailly,Ivorian,725560428,Start,,,,,,
5722,Mile Zechevikj,Macedonia,725560890,Stub,,,,,,
5723,Nikola Spasovski,Macedonia,725570133,Stub,,,,,,
5724,Vančo Šontevski,Macedonia,725570918,Stub,,,,,,
5725,Risto Gjorgjiev,Macedonia,725570977,Stub,,,,,,
5726,Vlado Misajlovski,Macedonia,725577168,Stub,,,,,,
5728,Miguel Andonie Fernández,Hondura,725591760,Stub,,,,,,
5757,Patrick J. D. Ryan,Jersey,725737326,Stub,,,,,,
5774,Dominic Fedee,Saint Lucian,725910626,Stub,,,,,,
5775,William Carey (Bailiff of Guernsey),Guernsey,725970969,Stub,,,,,,
5777,Howard Fergus,Montserratian,725980651,Start,,,,,,
5808,Yolani Batres,Hondura,726246603,Stub,,,,,,
5821,Philip Pierre,Saint Lucian,726374537,Stub,,,,,,
5822,Janez Evangelist Krek,Carniolan,726434981,Start,,,,,,
5961,Luca Rovinalti,Czech Republic,726666131,Stub,,,,,,
5983,Le Mamea Matatumua Ata,Samoan,726724077,Stub,,,,,,
5984,Tole’afoa Solomona To’ailoa,Samoan,726724455,Stub,,,,,,
6000,Kamil Krofta,Czech Republic,726762194,Start,,,,,,
6008,Manuel Antonio Alberto Zelaya,Hondura,726766670,Stub,,,,,,
6035,Yahya Al Khusaibi,Omani,726862168,Stub,,,,,,
6129,List of Danish High Commissioners in Greenland,Greenlandic,728026000,Stub,,,,,,
6165,List of Presidents of the House of Ariki,Cook Island,728378933,Stub,,,,,,
6176,Milan Štěch,Czech Republic,728506208,Stub,,,,,,
6184,Ksente Bogoev,Macedonia,728545577,Stub,,,,,,
6278,Laurent Akoun,Ivorian,729142061,Stub,,,,,,
6295,Kristin Michelsen,Faroese,729422866,C,,,,,,
6296,Sayyid Badr bin Hamad bin Hamood AlBusaidi,Omani,729426899,Start,,,,,,
6297,David Jones (Guernsey politician),Guernsey,729428763,Stub,,,,,,
6298,Etbin Henrik Costa,Carniolan,729435354,Start,,,,,,
6354,Antonín Janoušek,Czech Republic,729912438,Stub,,,,,,
6392,Bedřich Geminder,Czech Republic,730146355,Stub,,,,,,
6471,Hunter J. Francois,Saint Lucian,730756593,Stub,,,,,,
6485,Joaquín Eufrasio Guzmán,Salvadoran,730854147,Stub,,,,,,
6487,Francisco Malespín,Salvadoran,730864227,Stub,,,,,,
6548,Jonathan Sinclair,Pitcairn Islands,731458576,Stub,,,,,,
6595,James Sivewright,Cape Colony,731817397,C,,,,,,
6602,William Downes Griffith,Cape Colony,731908828,Start,,,,,,
6621,Neil Walter,Tokelauan,732100626,Start,,,,,,
6824,Clovis Kabongo Malemba,"Congo, Dem. Rep. of",733051797,Stub,,,,,,
6868,Daniel Aka Ahizi,Ivorian,733596387,Stub,,,,,,
6880,Rodrigo Ávila,Salvadoran,733791467,Start,,,,,,
7017,Lisbeth L. Petersen,Faroese,734668075,Start,,,,,,
7060,Karel Domin,Czech Republic,735174171,Start,,,,,,
7079,Bamba Mamadou,Ivorian,735408389,Stub,,,,,,
7099,Símun av Skarði,Faroese,735578210,Stub,,,,,,
7177,Mario Aguiñada Carranza,Salvadoran,736491718,Start,,,,,,
7188,Ferdinand Odžakov,Macedonia,736545789,Stub,,,,,,
7269,Harry Struben,South African Republic,736854878,Start,,,,,,
7283,Vincent Floissac,Saint Lucian,736890123,Start,,,,,,
7284,George Odlum,Saint Lucian,736890129,GA,,,,,,
7300,Philippe de Carteret II,Jersey,737014330,Start,,,,,,
7317,Patrice Nisbett,Saint Kitts and Nevis,737165159,Stub,,,,,,
7319,Ashley Greenwood,Montserratian,737169369,Start,,,,,,
7333,John Sweet Distin,Cape Colony,737348283,Start,,,,,,
7357,François Nicéphore Kakese,"Congo, Dem. Rep. of",737533634,Stub,,,,,,
7366,Hubert Ripka,Czech Republic,737562321,Start,,,,,,
7394,João Viegas Carrascalão,East Timorese,737687072,Start,,,,,,
7608,Tangaroa Tangaroa,Cook Island,737975585,Start,,,,,,
7672,David Rodríguez Rivera,Salvadoran,738362225,Start,,,,,,
7675,Slobodan Bogoevski,Macedonia,738375479,Stub,,,,,,
7682,Ministry of Environment and Physical Planning,Macedonia,738431228,Stub,,,,,,
7777,Mihael Preiss,Carniolan,738955897,Stub,,,,,,
7802,Lealailepule Rimoni Aiafi,Samoan,738999542,Start,,,,,,
7833,Va'ai Papu Vailupe,Samoan,739170575,Start,,,,,,
7834,Palusalue Fa’apo II,Samoan,739170586,Start,,,,,,
7835,Tolofuaivalelei Falemoe Lei’ataua,Samoan,739170620,Start,,,,,,
7836,A'eau Peniamina,Samoan,739170646,Start,,,,,,
7837,Patu Ativalu,Samoan,739170663,Stub,,,,,,
7855,Charles Antrobus,Saint Vincent and the Grenadines,739296460,Stub,,,,,,
8025,Sua Sulu'ape Paulo II,Samoan,740773350,C,,,,,,
8057,Connétable (Jersey and Guernsey),Jersey,740998059,Start,,,,,,
8093,Carlos Ezeta,Salvadoran,741190933,Stub,,,,,,
8143,Tomáš Eduard Šilinger,Czech Republic,741588720,Stub,,,,,,
8162,Karel Lavrič,Carniolan,741794691,C,,,,,,
8163,Petr Janyška,Czech Republic,741798984,Stub,,,,,,
8233,Gunnar Martens,Greenlandic,742150479,Stub,,,,,,
8259,Andrés Ignacio Menéndez,Salvadoran,742279612,Stub,,,,,,
8262,Abraham Alvarenga Urbina,Hondura,742298045,Stub,,,,,,
8273,Alan J. H. Maclean,Jersey,742413962,Stub,,,,,,
8313,Raymond Ramazani Baya,"Congo, Dem. Rep. of",742707920,Stub,,,,,,
8322,Lyndon Trott,Guernsey,742737553,Stub,,,,,,
8341,Jonathan Le Tocq,Guernsey,742872067,Start,,,,,,
8342,Graham Dorey,Guernsey,742872751,Stub,,,,,,
8356,Alan Parastaev,Ossetian,743018109,Start,,,,,,
8363,Mulumba Lukoji,"Congo, Dem. Rep. of",743061455,Stub,,,,,,
8384,Gerardo Barrios,Salvadoran,743252984,Start,,,,,,
8401,Jana Juřenčáková,Czech Republic,743423675,Stub,,,,,,
8402,Simeon Aké,Ivorian,743428650,Start,,,,,,
8562,Tim Francis,Tokelauan,744394596,Stub,,,,,,
8589,Jaromír Nečas,Czech Republic,744448745,Stub,,,,,,
8617,Martial Joseph Ahipeaud,Ivorian,744522699,Stub,,,,,,
8659,Siegfried Taub,Czech Republic,744612257,Start,,,,,,
8662,Lovro Toman,Carniolan,744636212,Start,,,,,,
8704,Innocent Anaky,Ivorian,744920472,Start,,,,,,
8744,Asiata Sale'imoa Va'ai,Samoan,745204530,Stub,,,,,,
8772,Michel Couriard,Jersey,745348113,Start,,,,,,
8869,Agapito Robleda Castro,Hondura,745838578,Start,,,,,,
8877,David Emmanuel Jack,Saint Vincent and the Grenadines,745928420,Stub,,,,,,
8906,César Castellanos (politician),Hondura,746117875,Stub,,,,,,
9021,Záviš Kalandra,Czech Republic,746707985,Stub,,,,,,
9064,John Thomas Eustace,Cape Colony,746923352,C,,,,,,
9161,Gerald B. Clarke,Rhodesian,747497059,Stub,,,,,,
9179,Moses Mathendele Dlamini,Swaziland,747579157,Start,,,,,,
9238,Bogumil Vošnjak,Carniolan,747945423,Start,,,,,,
9267,Boris Chochiev,South Ossetian,748071193,Stub,,,,,,
9304,Simon Young (magistrate),Pitcairn Islands,748179514,Stub,,,,,,
9342,Aiono Nonumalo Sofara,Samoan,748298776,Stub,,,,,,
9348,Mata'afa Faumuina Fiame Mulinu'u I,Samoan,748384437,Start,,,,,,
9364,Rubén Zamora,Salvadoran,748418081,Start,,,,,,
9372,De Vic Carey,Guernsey,748457839,Start,,,,,,
9376,Fiame Mata'afa Faumuina Mulinu'u II,Samoan,748477510,C,,,,,,
9377,Finnbogi Ísakson,Faroese,748477895,Start,,,,,,
9418,Adolfo Lionel Sevilla,Hondura,748832681,Stub,,,,,,
9485,Brian Young (magistrate),Pitcairn Islands,749046736,Stub,,,,,,
9515,Vicente Tosta,Hondura,749185736,Start,,,,,,
9611,Alexandre Luba Ntambo,"Congo, Dem. Rep. of",749397818,Stub,,,,,,
9627,Oscar Kashala,"Congo, Dem. Rep. of",749419078,Start,,,,,,
9702,Alois Rašín,Czech Republic,749575931,Start,,,,,,
9739,Aníbal Delgado Fiallos,Hondura,749663646,Start,,,,,,
9753,Toribio Aguilera,Hondura,749695259,Stub,,,,,,
9773,First Lady of Ivory Coast,Ivorian,749766207,Stub,,,,,,
9811,Bedřich Reicin,Czech Republic,749945936,Start,,,,,,
9827,Yury Morozov,South Ossetian,749962491,Start,,,,,,
9844,Antonio José Cañas,Salvadoran,749973666,Start,,,,,,
9846,José Atilio Benítez Parada,Salvadoran,749976455,Stub,,,,,,
9868,"List of members of the Løgting, 1988–90",Faroese,750074079,Start,,,,,,
9925,Brandur Sandoy,Faroese,750167873,Start,,,,,,
9943,Jeremias Ziervogel,Cape Colony,750299694,Start,,,,,,
10015,Jean-Marie Runiga Lugerero,"Congo, Dem. Rep. of",750725157,Stub,,,,,,
10033,Queen Pokou,Ivorian,750972336,Start,,,,,,
10042,Vangel Ajanovski-Oče,Macedonia,751054819,Stub,,,,,,
10056,Christian Malanga,"Congo, Dem. Rep. of",751152656,C,,,,,,
10096,Faustin Birindwa,"Congo, Dem. Rep. of",751361476,Stub,,,,,,
10108,Joshua Hill (Pitcairn Island leader),Pitcairn Islands,751464749,Stub,,,,,,
10142,Bernd Richter,Czech Republic,751718674,Stub,,,,,,
10310,Kamil Kalina,Czech Republic,753045804,Stub,,,,,,
10311,Manuel Carrascalão,East Timorese,753061850,Stub,,,,,,
10415,Chikez Diemu,"Congo, Dem. Rep. of",753704394,Stub,,,,,,
10481,Guy de Faye,Jersey,754330569,Start,,,,,,
10483,Minister of Foreign Affairs (Democratic Republic of the Congo),"Congo, Dem. Rep. of",754344309,Start,,,,,,
10532,George Fergusson (diplomat),Pitcairn Islands,754790610,C,,,,,,
10550,James Russell McCoy,Pitcairn Islands,754935959,Start,,,,,,
10551,Matthew Edmond McCoy,Pitcairn Islands,754935982,Stub,,,,,,
10560,"List of members of the Løgting, 2015–19",Faroese,754952121,Start,,,,,,
10561,"List of members of the Løgting, 2011–15",Faroese,754952298,Start,,,,,,
10562,"List of members of the Løgting, 2008–11",Faroese,754952557,Start,,,,,,
10563,"List of members of the Løgting, 2004–08",Faroese,754952620,Start,,,,,,
10564,"List of members of the Løgting, 2002–04",Faroese,754952690,Start,,,,,,
10610,Sumbat Saakian,Abkhazia,755193428,Stub,,,,,,
10669,Richard Sacher,Czech Republic,755428089,Stub,,,,,,
10671,Speaker of the Cook Islands Parliament,Cook Island,755442454,Start,,,,,,
